DATE,VASTHPI
1975-01-01,69.81
1975-04-01,66.72
1975-07-01,67.44
1975-10-01,67.73
1976-01-01,69.39
1976-04-01,68.59
1976-07-01,70.51
1976-10-01,71.97
1977-01-01,73.05
1977-04-01,75.1
1977-07-01,77.26
1977-10-01,78.9
1978-01-01,80.38
1978-04-01,83.37
1978-07-01,86.07
1978-10-01,89.27
1979-01-01,89.46
1979-04-01,91.6
1979-07-01,94.66
1979-10-01,95.51
1980-01-01,100.00
1980-04-01,101.14
1980-07-01,104.3
1980-10-01,104.26
1981-01-01,106.13
1981-04-01,105.55
1981-07-01,106.19
1981-10-01,109.8
1982-01-01,97.8
1982-04-01,109.49
1982-07-01,103.73
1982-10-01,112.83
1983-01-01,115.29
1983-04-01,118.06
1983-07-01,118.84
1983-10-01,118.66
1984-01-01,121.39
1984-04-01,123.23
1984-07-01,124.88
1984-10-01,124.44
1985-01-01,127.5
1985-04-01,129.62
1985-07-01,131.49
1985-10-01,132.26
1986-01-01,134.53
1986-04-01,136.97
1986-07-01,139.98
1986-10-01,142.41
1987-01-01,145.45
1987-04-01,149.48
1987-07-01,156.75
1987-10-01,160.25
1988-01-01,164.89
1988-04-01,170.49
1988-07-01,174.55
1988-10-01,178.1
1989-01-01,181.36
1989-04-01,185.28
1989-07-01,187.89
1989-10-01,189.25
1990-01-01,189.21
1990-04-01,189.51
1990-07-01,188.9
1990-10-01,186.78
1991-01-01,187.9
1991-04-01,188.49
1991-07-01,187.03
1991-10-01,190.34
1992-01-01,191.46
1992-04-01,189.74
1992-07-01,192.13
1992-10-01,192.78
1993-01-01,192.24
1993-04-01,193.33
1993-07-01,193.73
1993-10-01,194.77
1994-01-01,195.02
1994-04-01,194.82
1994-07-01,194.47
1994-10-01,194.2
1995-01-01,193.67
1995-04-01,196.12
1995-07-01,198.4
1995-10-01,199.19
1996-01-01,201.32
1996-04-01,200.73
1996-07-01,199.91
1996-10-01,201.56
1997-01-01,202.94
1997-04-01,203.23
1997-07-01,205.44
1997-10-01,207.48
1998-01-01,209.15
1998-04-01,210.1
1998-07-01,211.68
1998-10-01,213.74
1999-01-01,216.17
1999-04-01,218.92
1999-07-01,222.67
1999-10-01,225.64
2000-01-01,229.48
2000-04-01,234.21
2000-07-01,238.38
2000-10-01,242.41
2001-01-01,248.51
2001-04-01,254.29
2001-07-01,259.97
2001-10-01,263.56
2002-01-01,268.73
2002-04-01,276.28
2002-07-01,283.35
2002-10-01,287.25
2003-01-01,291.6
2003-04-01,296.33
2003-07-01,303.44
2003-10-01,315.74
2004-01-01,323.81
2004-04-01,336.28
2004-07-01,357.68
2004-10-01,370.12
2005-01-01,384.84
2005-04-01,406.68
2005-07-01,426.23
2005-10-01,438.18
2006-01-01,448.04
2006-04-01,456.43
2006-07-01,459.27
2006-10-01,465.76
2007-01-01,467.78
2007-04-01,468.97
2007-07-01,463.06
2007-10-01,461.9
2008-01-01,459.48
2008-04-01,446.42
2008-07-01,434.13
2008-10-01,430.6
2009-01-01,432.26
2009-04-01,421.44
2009-07-01,412.01
2009-10-01,408.93
2010-01-01,403.45
2010-04-01,400.78
2010-07-01,404.85
2010-10-01,402.65
2011-01-01,393.22
2011-04-01,388.37
2011-07-01,391.67
2011-10-01,394.4
2012-01-01,390.09
2012-04-01,387.53
2012-07-01,392.35
2012-10-01,393.93
2013-01-01,393.49
2013-04-01,397.28
2013-07-01,398.03
2013-10-01,397.95
2014-01-01,399.5
2014-04-01,405.7
2014-07-01,408.67
2014-10-01,412.0
2015-01-01,414.22
2015-04-01,417.76
2015-07-01,419.33
2015-10-01,421.14
2016-01-01,420.36
2016-04-01,427.43
2016-07-01,431.43
2016-10-01,433.31
2017-01-01,432.61
2017-04-01,441.37
2017-07-01,443.93
2017-10-01,445.71
2018-01-01,450.23
2018-04-01,455.7
2018-07-01,458.2
2018-10-01,458.66
2019-01-01,463.72
2019-04-01,472.77
2019-07-01,477.85
2019-10-01,481.46
2020-01-01,486.59
2020-04-01,492.01
2020-07-01,500.19
2020-10-01,509.5
2021-01-01,520.19
2021-04-01,544.4
2021-07-01,569.43
2021-10-01,583.35
2022-01-01,602.02
2022-04-01,642.15
